Eruption period	Comment	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total
Oct.14	HB9_cpx5_8 	51.02	0.7821	3.69	7	0.1709	15.85	19.11	0.2681	0.2071	0.0116	98.1098
Oct.14	HB9_cpx5_9 	51.35	0.7739	3.28	7.21	0.2175	15.73	19.22	0.209	0.1396	0.0176	98.1476
Oct.14	HB9_cpx5_10 	51.45	0.6985	3.16	7.03	0.1729	15.78	19.6	0.2231	0.1423	0.0229	98.2797
Oct.14	HB9_cpx5_11 	51.52	0.7081	3.11	7.24	0.1932	15.75	19.5	0.2355	0.1027	0.011	98.3705
Oct.14	HB9_cpx5_12 	50.8	0.9915	2.53	11.35	0.2755	14.53	17.52	0.2699	0.0185	0.0263	98.3117
Oct.14	HB9_cpx6_1 	53.32	0.4189	1.613	8.53	0.2728	18.39	15.8	0.166	0.049	0.0208	98.5805
Oct.14	HB9_cpx6_2 	50.6	0.9177	3.99	7.56	0.168	14.83	19.99	0.242	0.13	0.0082	98.4359
Oct.14	HB9_cpx6_3 	51.41	0.775	3.46	7.31	0.1879	15.78	19.38	0.2497	0.1704	0.0298	98.7528
Oct.14	HB9_cpx6_4 	51.23	0.7935	3.4	7.31	0.1895	15.81	19.35	0.2231	0.1604	0.005	98.4715
Oct.14	HB9_cpx6_5 	51.09	0.9724	3.8	7.67	0.1971	15.47	19.26	0.2366	0.1127	0.0231	98.8319
